CODE;PL
3443;Rowery
3450;Statki i łodzie
3451;Statki
3452;Łodzie
3460;Lokomotywy kolejowe i tramwajowe oraz tabor kolejowy i podobne elementy
3461;Parowozy i lokomotywy kolejowe
3462;Tabor kolejowy
3463;"Części lokomotyw kolejowych lub tramwajowych, lub taboru kolejowego; urządzenia do sterowania ruchem kolejowym"
3464;Elementy samochodowe
3470;Statki powietrzne i kosmiczne
3471;Śmigłowce, samoloty, statki kosmiczne i inne statki powietrzne z napędem
3472;Balony, sterowce i pozostałe statki powietrzne nienapędzane paliwem
3473;Części statków powietrznych, kosmicznych i śmigłowców
3474;Urządzenia do statków powietrznych lub kosmicznych, urządzenia szkoleniowe, symulatory i podobne części
3490;Różny sprzęt transportowy i części zapasowe
3491;Wozy konne i ręczne, inne pojazdy nienapędzane mechanicznie, wózki bagażowe i różne części zapasowe
3492;Sprzęt drogowy
3493;Urządzenia wodne
3494;Urządzenia kolejowe
3495;Urządzenia balastowe
3496;Urządzenia lotniskowe
3497;Urządzenia monitorowania ruchu
3498;Bilety przewozowe
3499;Sprzęt kontrolny, bezpieczeństwa, sygnalizacyjny i oświetleniowy
3500;Sprzęt bezpieczeństwa, gaśniczy, policyjny i obronny
3510;Urządzenia awaryjne i zabezpieczające
3511;Sprzęt gaśniczy, ratowniczy i bezpieczeństwa
3512;Systemy i urządzenia nadzoru i bezpieczeństwa
3520;Sprzęt policyjny
3521;Cele strzelnicze
3522;Sprzęt do tłumienia zamieszek
3523;Rękawy
3524;Syreny
3525;Środki odstraszające psy
3526;Znaki policyjne
3530;Broń, amunicja i podobne elementy
3531;Broń różna
3532;Broń palna
3533;Amunicja
3534;Części broni palnej i amunicja
3540;Pojazdy wojskowe i ich części
3541;Opancerzone pojazdy wojskowe
3542;Części pojazdów wojskowych
3550;Okręty wojenne i ich części
3551;Okręty wojenne
3552;Części okrętów wojennych
3560;Samoloty wojskowe, rakiety (pociski rakietowe) i statki kosmiczne
3561;Samoloty wojskowe
3562;Rakiety (pociski rakietowe)
3563;Wojskowe pojazdy kosmiczne
3564;Części wojskowego sprzętu kosmicznego
3570;Wojskowe systemy elektroniczne
3571;Systemy dowodzenia, kontroli, łączności i systemy komputerowe
3572;Wywiad, nadzór, zbieranie danych o celach i zwiad
3573;Systemy walki elektronicznej i środki przeciwdziałania elektronicznego
3574;Symulatory walki
3580;Sprzęt osobisty i pomocniczy
3581;Sprzęt osobisty
3582;Sprzęt pomocniczy
3700;Instrumenty muzyczne, artykuły sportowe, gry, zabawki, wyroby rzemieślnicze, materiały i akcesoria artystyczne
3730;Instrumenty muzyczne i ich części
3731;Instrumenty muzyczne
3732;Części i akcesoria do instrumentów muzycznych
3740;Artykuły i sprzęt sportowy
3741;Sprzęt sportowy do uprawiania sportów na wolnym powietrzu
3742;Sprzęt gimnastyczny
3743;Sprzęt bokserski
3744;Sprzęt do ćwiczeń fizycznych
3745;Sprzęt do sportów uprawianych na boiskach lub na kortach
3746;Gry tarczowe i stołowe oraz wyposażenie
3747;Sprzęt do golfa i bowlingu
3748;Maszyny lub sprzęt wypoczynkowy
3750;Gry i zabawki, wyposażenie parków zabaw
3751;Lalki
3752;Zabawki
3753;Artykuły do zabaw na wolnym powietrzu, gier salonowych lub towarzyskich
3754;Maszyny do gier hazardowych
3780;Wyroby rękodzielnicze i artystyczne
3781;Wyroby rękodzielnicze
3782;Wyroby artystyczne
3800;Sprzęt laboratoryjny, optyczny i precyzyjny (z wyjątkiem szklanego)
3810;Przyrządy nawigacyjne i meteorologiczne
3811;Przyrządy nawigacyjne
3812;Przyrządy meteorologiczne
3820;Przyrządy geologiczne i geofizyczne
3821;Kompasy geologiczne
3822;Geologiczna aparatura poszukiwawcza
3823;Elektromagnetyczne przyrządy geofizyczne
